Port,Timestamp,tput in bits per sec,bytes in last sec,packets in last sec,total bytes,total packets
59471,1700053761.6934755,35112,4389,4,4389,4
59471,1700053762.7573297,42152,5269,5,9658,9
59471,1700053763.8061795,55256,6907,6,16565,15
59471,1700053764.845986,54592,6824,6,23389,21
59471,1700053765.8931003,45944,5743,5,29132,26
59471,1700053766.9383285,53968,6746,6,35878,32
59471,1700053767.9886065,69856,8732,8,44610,40
59471,1700053769.0406713,46760,5845,5,50455,45
59471,1700053770.0802686,46480,5810,5,56265,50
59471,1700053771.123849,61984,7748,7,64013,57
59471,1700053772.1493962,56712,7089,6,71102,63
59471,1700053773.1856484,63576,7947,7,79049,70
59471,1700053774.240321,80304,10038,9,89087,79
59471,1700053775.2990582,54544,6818,6,95905,85
59471,1700053776.3460355,38736,4842,7,100747,92
59471,1700053777.3902066,2400,300,1,101047,93
